#radius[cm] density[g/cm^3] temperature[K] pressure[dyne/cm^2] sp.energy[erg/g] sp.entropy[erg/g/K] menclosed[g] matID
1.02976000e+07 1.29969610e+01 6.18011127e+03 4.33751346e+12 9.73503299e+10 1.82135864e+07 6.13223911e+22 402
1.05121333e+07 1.29968845e+01 6.18006555e+03 4.33741026e+12 9.73483648e+10 1.82135864e+07 6.51943272e+22 402
1.07266667e+07 1.29968065e+01 6.18001887e+03 4.33730488e+12 9.73463584e+10 1.82135864e+07 6.92258904e+22 402
1.09412000e+07 1.29967269e+01 6.17997123e+03 4.33719734e+12 9.73443106e+10 1.82135864e+07 7.34203036e+22 402
1.11557333e+07 1.29966456e+01 6.17992262e+03 4.33708762e+12 9.73422216e+10 1.82135864e+07 7.77807895e+22 402
1.13702667e+07 1.29965628e+01 6.17987306e+03 4.33697573e+12 9.73400912e+10 1.82135864e+07 8.23105707e+22 402
1.15848000e+07 1.29964783e+01 6.17982253e+03 4.33686167e+12 9.73379194e+10 1.82135864e+07 8.70128696e+22 402
1.17993333e+07 1.29963922e+01 6.17977104e+03 4.33674544e+12 9.73357064e+10 1.82135864e+07 9.18909087e+22 402
1.20138667e+07 1.29963046e+01 6.17971859e+03 4.33662704e+12 9.73334520e+10 1.82135864e+07 9.69479100e+22 402
1.22284000e+07 1.29962153e+01 6.17966518e+03 4.33650647e+12 9.73311563e+10 1.82135864e+07 1.02187096e+23 402
1.24429333e+07 1.29961244e+01 6.17961080e+03 4.33638373e+12 9.73288192e+10 1.82135864e+07 1.07611688e+23 402
1.26574667e+07 1.29960319e+01 6.17955547e+03 4.33625882e+12 9.73264409e+10 1.82135864e+07 1.13224908e+23 402
1.28720000e+07 1.29959378e+01 6.17949917e+03 4.33613174e+12 9.73240212e+10 1.82135864e+07 1.19029978e+23 402
1.30865333e+07 1.29958421e+01 6.17944191e+03 4.33600249e+12 9.73215602e+10 1.82135864e+07 1.25030120e+23 402
1.33010667e+07 1.29957448e+01 6.17938369e+03 4.33587107e+12 9.73190578e+10 1.82135864e+07 1.31228554e+23 402
1.35156000e+07 1.29956458e+01 6.17932451e+03 4.33573748e+12 9.73165142e+10 1.82135864e+07 1.37628503e+23 402
1.37301333e+07 1.29955453e+01 6.17926437e+03 4.33560171e+12 9.73139292e+10 1.82135864e+07 1.44233187e+23 402
1.39446667e+07 1.29954432e+01 6.17920326e+03 4.33546378e+12 9.73113029e+10 1.82135864e+07 1.51045826e+23 402
1.41592000e+07 1.29953394e+01 6.17914120e+03 4.33532368e+12 9.73086353e+10 1.82135864e+07 1.58069643e+23 402
1.43737333e+07 1.29952341e+01 6.17907817e+03 4.33518141e+12 9.73059264e+10 1.82135864e+07 1.65307857e+23 402
1.45882667e+07 1.29951271e+01 6.17901418e+03 4.33503697e+12 9.73031761e+10 1.82135864e+07 1.72763690e+23 402
1.48028000e+07 1.29950185e+01 6.17894923e+03 4.33489036e+12 9.73003846e+10 1.82135864e+07 1.80440361e+23 402
1.50173333e+07 1.29949084e+01 6.17888332e+03 4.33474158e+12 9.72975517e+10 1.82135864e+07 1.88341090e+23 402
1.52318667e+07 1.29947966e+01 6.17881645e+03 4.33459063e+12 9.72946776e+10 1.82135864e+07 1.96469098e+23 402
1.54464000e+07 1.29946832e+01 6.17874862e+03 4.33443751e+12 9.72917621e+10 1.82135864e+07 2.04827605e+23 402
1.56609333e+07 1.29945682e+01 6.17867983e+03 4.33428222e+12 9.72888053e+10 1.82135864e+07 2.13419829e+23 402
1.58754667e+07 1.29944516e+01 6.17861007e+03 4.33412476e+12 9.72858073e+10 1.82135864e+07 2.22248992e+23 402
1.60900000e+07 1.29943334e+01 6.17853936e+03 4.33396513e+12 9.72827679e+10 1.82135864e+07 2.31318311e+23 402
1.63045333e+07 1.29942136e+01 6.17846768e+03 4.33380334e+12 9.72796872e+10 1.82135864e+07 2.40631006e+23 402
1.65190667e+07 1.29940922e+01 6.17839505e+03 4.33363937e+12 9.72765652e+10 1.82135864e+07 2.50190297e+23 402
1.67336000e+07 1.29939692e+01 6.17832145e+03 4.33347324e+12 9.72734019e+10 1.82135864e+07 2.59999401e+23 402
1.69481333e+07 1.29938445e+01 6.17824689e+03 4.33330494e+12 9.72701974e+10 1.82135864e+07 2.70061538e+23 402
1.71626667e+07 1.29937183e+01 6.17817137e+03 4.33313447e+12 9.72669515e+10 1.82135864e+07 2.80379926e+23 402
1.73772000e+07 1.29935904e+01 6.17809489e+03 4.33296183e+12 9.72636644e+10 1.82135864e+07 2.90957783e+23 402
1.75917333e+07 1.29934610e+01 6.17801745e+03 4.33278702e+12 9.72603359e+10 1.82135864e+07 3.01798327e+23 402
1.78062667e+07 1.29933300e+01 6.17793905e+03 4.33261004e+12 9.72569662e+10 1.82135864e+07 3.12904776e+23 402
1.80208000e+07 1.29931973e+01 6.17785969e+03 4.33243089e+12 9.72535552e+10 1.82135864e+07 3.24280348e+23 402
1.82353333e+07 1.29930630e+01 6.17777937e+03 4.33224958e+12 9.72501029e+10 1.82135864e+07 3.35928260e+23 402
1.84498667e+07 1.29929272e+01 6.17769808e+03 4.33206610e+12 9.72466093e+10 1.82135864e+07 3.47851730e+23 402
1.86644000e+07 1.29927897e+01 6.17761584e+03 4.33188045e+12 9.72430744e+10 1.82135864e+07 3.60053974e+23 402
1.88789333e+07 1.29926506e+01 6.17753264e+03 4.33169263e+12 9.72394983e+10 1.82135864e+07 3.72538210e+23 402
1.90934667e+07 1.29925099e+01 6.17744847e+03 4.33150265e+12 9.72358809e+10 1.82135864e+07 3.85307654e+23 402
1.93080000e+07 1.29923676e+01 6.17736335e+03 4.33131050e+12 9.72322222e+10 1.82135864e+07 3.98365522e+23 402
1.95225333e+07 1.29922237e+01 6.17727726e+03 4.33111617e+12 9.72285222e+10 1.82135864e+07 4.11715031e+23 402
1.97370667e+07 1.29920782e+01 6.17719022e+03 4.33091969e+12 9.72247810e+10 1.82135864e+07 4.25359397e+23 402
1.99516000e+07 1.29919311e+01 6.17710222e+03 4.33072103e+12 9.72209985e+10 1.82135864e+07 4.39301835e+23 402
2.01661333e+07 1.29917824e+01 6.17701325e+03 4.33052021e+12 9.72171747e+10 1.82135864e+07 4.53545561e+23 402
2.03806667e+07 1.29916321e+01 6.17692333e+03 4.33031722e+12 9.72133097e+10 1.82135864e+07 4.68093791e+23 402
2.05952000e+07 1.29914802e+01 6.17683244e+03 4.33011206e+12 9.72094034e+10 1.82135864e+07 4.82949740e+23 402
2.08097333e+07 1.29913267e+01 6.17674060e+03 4.32990474e+12 9.72054559e+10 1.82135864e+07 4.98116622e+23 402
2.10242667e+07 1.29911715e+01 6.17664779e+03 4.32969525e+12 9.72014671e+10 1.82135864e+07 5.13597652e+23 402
2.12388000e+07 1.29910148e+01 6.17655403e+03 4.32948359e+12 9.71974370e+10 1.82135864e+07 5.29396045e+23 402
2.14533333e+07 1.29908565e+01 6.17645930e+03 4.32926977e+12 9.71933657e+10 1.82135864e+07 5.45515015e+23 402
2.16678667e+07 1.29906965e+01 6.17636362e+03 4.32905378e+12 9.71892532e+10 1.82135864e+07 5.61957776e+23 402
2.18824000e+07 1.29905350e+01 6.17626698e+03 4.32883562e+12 9.71850994e+10 1.82135864e+07 5.78727541e+23 402
2.20969333e+07 1.29903718e+01 6.17616937e+03 4.32861530e+12 9.71809043e+10 1.82135864e+07 5.95827525e+23 402
2.23114667e+07 1.29902071e+01 6.17607081e+03 4.32839281e+12 9.71766681e+10 1.82135864e+07 6.13260940e+23 402
2.25260000e+07 1.29900407e+01 6.17597129e+03 4.32816816e+12 9.71723905e+10 1.82135864e+07 6.31030999e+23 402
2.27405333e+07 1.29898728e+01 6.17587081e+03 4.32794134e+12 9.71680718e+10 1.82135864e+07 6.49140916e+23 402
2.29550667e+07 1.29897032e+01 6.17576937e+03 4.32771236e+12 9.71637118e+10 1.82135864e+07 6.67593902e+23 402
2.31696000e+07 1.29895320e+01 6.17566697e+03 4.32748121e+12 9.71593106e+10 1.82135864e+07 6.86393170e+23 402
2.33841333e+07 1.29893593e+01 6.17556361e+03 4.32724789e+12 9.71548681e+10 1.82135864e+07 7.05541932e+23 402
2.35986667e+07 1.29891849e+01 6.17545929e+03 4.32701241e+12 9.71503844e+10 1.82135864e+07 7.25043400e+23 402
2.38132000e+07 1.29890089e+01 6.17535401e+03 4.32677476e+12 9.71458595e+10 1.82135864e+07 7.44900786e+23 402
2.40277333e+07 1.29888304e+01 6.17524708e+03 4.32653495e+12 9.71412894e+10 1.82135864e+07 7.65117300e+23 402
2.42422667e+07 1.29886501e+01 6.17513915e+03 4.32629298e+12 9.71366779e+10 1.82135864e+07 7.85696151e+23 402
2.44568000e+07 1.29884683e+01 6.17503026e+03 4.32604883e+12 9.71320251e+10 1.82135864e+07 8.06640551e+23 402
2.46713333e+07 1.29882849e+01 6.17492039e+03 4.32580253e+12 9.71273311e+10 1.82135864e+07 8.27953710e+23 402
2.48858667e+07 1.29880998e+01 6.17480957e+03 4.32555406e+12 9.71225958e+10 1.82135864e+07 8.49638838e+23 402
2.51004000e+07 1.29879131e+01 6.17469778e+03 4.32530343e+12 9.71178193e+10 1.82135864e+07 8.71699145e+23 402
2.53149333e+07 1.29877249e+01 6.17458502e+03 4.32505063e+12 9.71130015e+10 1.82135864e+07 8.94137840e+23 402
2.55294667e+07 1.29875350e+01 6.17447129e+03 4.32479567e+12 9.71081425e+10 1.82135864e+07 9.16958133e+23 402
2.57440000e+07 1.29873435e+01 6.17435661e+03 4.32453854e+12 9.71032423e+10 1.82135864e+07 9.40163232e+23 402
2.59585333e+07 1.29871504e+01 6.17424095e+03 4.32427925e+12 9.70983008e+10 1.82135864e+07 9.63756346e+23 402
2.61730667e+07 1.29869556e+01 6.17412434e+03 4.32401780e+12 9.70933181e+10 1.82135864e+07 9.87740684e+23 402
2.63876000e+07 1.29867593e+01 6.17400675e+03 4.32375419e+12 9.70882942e+10 1.82135864e+07 1.01211945e+24 402
2.66021333e+07 1.29865613e+01 6.17388821e+03 4.32348841e+12 9.70832290e+10 1.82135864e+07 1.03689586e+24 402
2.68166667e+07 1.29863618e+01 6.17376869e+03 4.32322046e+12 9.70781227e+10 1.82135864e+07 1.06207312e+24 402
2.70312000e+07 1.29861606e+01 6.17364822e+03 4.32295036e+12 9.70729751e+10 1.82135864e+07 1.08765443e+24 402
2.72457333e+07 1.29859578e+01 6.17352677e+03 4.32267809e+12 9.70677863e+10 1.82135864e+07 1.11364300e+24 402
2.74602667e+07 1.29857535e+01 6.17340437e+03 4.32240366e+12 9.70625562e+10 1.82135864e+07 1.14004204e+24 402
2.76748000e+07 1.29855475e+01 6.17328100e+03 4.32212707e+12 9.70572850e+10 1.82135864e+07 1.16685476e+24 402
2.78893333e+07 1.29853398e+01 6.17315666e+03 4.32184832e+12 9.70519726e+10 1.82135864e+07 1.19408435e+24 402
2.81038667e+07 1.29851306e+01 6.17303136e+03 4.32156740e+12 9.70466189e+10 1.82135864e+07 1.22173403e+24 402
2.83184000e+07 1.29849198e+01 6.17290510e+03 4.32128432e+12 9.70412241e+10 1.82135864e+07 1.24980700e+24 402
2.85329333e+07 1.29847074e+01 6.17277787e+03 4.32099908e+12 9.70357880e+10 1.82135864e+07 1.27830647e+24 402
2.87474667e+07 1.29844933e+01 6.17264968e+03 4.32071168e+12 9.70303108e+10 1.82135864e+07 1.30723564e+24 402
2.89620000e+07 1.29842776e+01 6.17252052e+03 4.32042212e+12 9.70247924e+10 1.82135864e+07 1.33659772e+24 402
