#radius[cm] density[g/cm^3] temperature[K] pressure[dyne/cm^2] sp.energy[erg/g] sp.entropy[erg/g/K] menclosed[g] matID
8.86560000e+06 1.13420301e+01 5.18235866e+03 2.44241106e+12 6.05379324e+10 1.82407930e+07 3.41493416e+22 402
9.05030000e+06 1.13419689e+01 5.18231949e+03 2.44235277e+12 6.05367694e+10 1.82407930e+07 3.63055637e+22 402
9.23500000e+06 1.13419064e+01 5.18227950e+03 2.44229325e+12 6.05355820e+10 1.82407930e+07 3.85506809e+22 402
9.41970000e+06 1.13418426e+01 5.18223869e+03 2.44223250e+12 6.05343701e+10 1.82407930e+07 4.08864880e+22 402
9.60440000e+06 1.13417775e+01 5.18219706e+03 2.44217053e+12 6.05331338e+10 1.82407930e+07 4.33147796e+22 402
9.78910000e+06 1.13417112e+01 5.18215460e+03 2.44210734e+12 6.05318730e+10 1.82407930e+07 4.58373507e+22 402
9.97380000e+06 1.13416435e+01 5.18211131e+03 2.44204292e+12 6.05305877e+10 1.82407930e+07 4.84559959e+22 402
1.01585000e+07 1.13415746e+01 5.18206721e+03 2.44197727e+12 6.05292780e+10 1.82407930e+07 5.11725097e+22 402
1.03432000e+07 1.13415043e+01 5.18202227e+03 2.44191039e+12 6.05279438e+10 1.82407930e+07 5.39886868e+22 402
1.05279000e+07 1.13414328e+01 5.18197652e+03 2.44184229e+12 6.05265851e+10 1.82407930e+07 5.69063216e+22 402
1.07126000e+07 1.13413600e+01 5.18192994e+03 2.44177297e+12 6.05252020e+10 1.82407930e+07 5.99272084e+22 402
1.08973000e+07 1.13412859e+01 5.18188254e+03 2.44170242e+12 6.05237945e+10 1.82407930e+07 6.30531417e+22 402
1.10820000e+07 1.13412105e+01 5.18183431e+03 2.44163064e+12 6.05223625e+10 1.82407930e+07 6.62859158e+22 402
1.12667000e+07 1.13411339e+01 5.18178526e+03 2.44155763e+12 6.05209060e+10 1.82407930e+07 6.96273247e+22 402
1.14514000e+07 1.13410559e+01 5.18173539e+03 2.44148340e+12 6.05194251e+10 1.82407930e+07 7.30791627e+22 402
1.16361000e+07 1.13409767e+01 5.18168469e+03 2.44140795e+12 6.05179197e+10 1.82407930e+07 7.66432238e+22 402
1.18208000e+07 1.13408961e+01 5.18163317e+03 2.44133127e+12 6.05163898e+10 1.82407930e+07 8.03213020e+22 402
1.20055000e+07 1.13408143e+01 5.18158083e+03 2.44125336e+12 6.05148355e+10 1.82407930e+07 8.41151911e+22 402
1.21902000e+07 1.13407312e+01 5.18152766e+03 2.44117423e+12 6.05132568e+10 1.82407930e+07 8.80266851e+22 402
1.23749000e+07 1.13406468e+01 5.18147367e+03 2.44109387e+12 6.05116536e+10 1.82407930e+07 9.20575775e+22 402
1.25596000e+07 1.13405611e+01 5.18141886e+03 2.44101229e+12 6.05100259e+10 1.82407930e+07 9.62096622e+22 402
1.27443000e+07 1.13404742e+01 5.18136322e+03 2.44092948e+12 6.05083738e+10 1.82407930e+07 1.00484733e+23 402
1.29290000e+07 1.13403859e+01 5.18130676e+03 2.44084544e+12 6.05066973e+10 1.82407930e+07 1.04884582e+23 402
1.31137000e+07 1.13402964e+01 5.18124947e+03 2.44076018e+12 6.05049963e+10 1.82407930e+07 1.09411005e+23 402
1.32984000e+07 1.13402055e+01 5.18119137e+03 2.44067370e+12 6.05032708e+10 1.82407930e+07 1.14065793e+23 402
1.34831000e+07 1.13401134e+01 5.18113244e+03 2.44058598e+12 6.05015209e+10 1.82407930e+07 1.18850741e+23 402
1.36678000e+07 1.13400200e+01 5.18107268e+03 2.44049705e+12 6.04997466e+10 1.82407930e+07 1.23767641e+23 402
1.38525000e+07 1.13399253e+01 5.18101210e+03 2.44040689e+12 6.04979478e+10 1.82407930e+07 1.28818287e+23 402
1.40372000e+07 1.13398293e+01 5.18095070e+03 2.44031550e+12 6.04961246e+10 1.82407930e+07 1.34004471e+23 402
1.42219000e+07 1.13397321e+01 5.18088848e+03 2.44022289e+12 6.04942769e+10 1.82407930e+07 1.39327986e+23 402
1.44066000e+07 1.13396335e+01 5.18082543e+03 2.44012905e+12 6.04924048e+10 1.82407930e+07 1.44790626e+23 402
1.45913000e+07 1.13395337e+01 5.18076156e+03 2.44003399e+12 6.04905082e+10 1.82407930e+07 1.50394182e+23 402
1.47760000e+07 1.13394326e+01 5.18069687e+03 2.43993770e+12 6.04885872e+10 1.82407930e+07 1.56140448e+23 402
1.49607000e+07 1.13393302e+01 5.18063135e+03 2.43984019e+12 6.04866418e+10 1.82407930e+07 1.62031216e+23 402
1.51454000e+07 1.13392265e+01 5.18056501e+03 2.43974145e+12 6.04846719e+10 1.82407930e+07 1.68068278e+23 402
1.53301000e+07 1.13391215e+01 5.18049785e+03 2.43964149e+12 6.04826775e+10 1.82407930e+07 1.74253427e+23 402
1.55148000e+07 1.13390152e+01 5.18042987e+03 2.43954030e+12 6.04806588e+10 1.82407930e+07 1.80588455e+23 402
1.56995000e+07 1.13389077e+01 5.18036106e+03 2.43943789e+12 6.04786156e+10 1.82407930e+07 1.87075154e+23 402
