#radius[cm] density[g/cm^3] temperature[K] pressure[dyne/cm^2] sp.energy[erg/g] sp.entropy[erg/g/K] menclosed[g] matID
9.43840000e+06 1.19521191e+01 5.50419488e+03 3.05985996e+12 7.25022215e+10 1.81731155e+07 4.34218267e+22 402
9.63503333e+06 1.19520521e+01 5.50415346e+03 3.05978664e+12 7.25007840e+10 1.81731155e+07 4.61635167e+22 402
9.83166667e+06 1.19519836e+01 5.50411116e+03 3.05971177e+12 7.24993162e+10 1.81731155e+07 4.90182384e+22 402
1.00283000e+07 1.19519138e+01 5.50406800e+03 3.05963537e+12 7.24978181e+10 1.81731155e+07 5.19882739e+22 402
1.02249333e+07 1.19518425e+01 5.50402397e+03 3.05955742e+12 7.24962899e+10 1.81731155e+07 5.50759051e+22 402
1.04215667e+07 1.19517699e+01 5.50397906e+03 3.05947793e+12 7.24947314e+10 1.81731155e+07 5.82834141e+22 402
1.06182000e+07 1.19516958e+01 5.50393328e+03 3.05939690e+12 7.24931426e+10 1.81731155e+07 6.16130829e+22 402
1.08148333e+07 1.19516203e+01 5.50388664e+03 3.05931432e+12 7.24915236e+10 1.81731155e+07 6.50671932e+22 402
1.10114667e+07 1.19515434e+01 5.50383912e+03 3.05923021e+12 7.24898744e+10 1.81731155e+07 6.86480267e+22 402
1.12081000e+07 1.19514651e+01 5.50379073e+03 3.05914455e+12 7.24881950e+10 1.81731155e+07 7.23578651e+22 402
1.14047333e+07 1.19513854e+01 5.50374147e+03 3.05905735e+12 7.24864853e+10 1.81731155e+07 7.61989899e+22 402
1.16013667e+07 1.19513043e+01 5.50369133e+03 3.05896860e+12 7.24847454e+10 1.81731155e+07 8.01736827e+22 402
1.17980000e+07 1.19512218e+01 5.50364033e+03 3.05887832e+12 7.24829752e+10 1.81731155e+07 8.42842247e+22 402
1.19946333e+07 1.19511378e+01 5.50358845e+03 3.05878649e+12 7.24811748e+10 1.81731155e+07 8.85328973e+22 402
1.21912667e+07 1.19510525e+01 5.50353571e+03 3.05869312e+12 7.24793442e+10 1.81731155e+07 9.29219816e+22 402
1.23879000e+07 1.19509657e+01 5.50348209e+03 3.05859821e+12 7.24774834e+10 1.81731155e+07 9.74537587e+22 402
1.25845333e+07 1.19508775e+01 5.50342760e+03 3.05850176e+12 7.24755923e+10 1.81731155e+07 1.02130510e+23 402
1.27811667e+07 1.19507880e+01 5.50337225e+03 3.05840377e+12 7.24736710e+10 1.81731155e+07 1.06954515e+23 402
1.29778000e+07 1.19506970e+01 5.50331602e+03 3.05830423e+12 7.24717195e+10 1.81731155e+07 1.11928056e+23 402
1.31744333e+07 1.19506046e+01 5.50325892e+03 3.05820316e+12 7.24697378e+10 1.81731155e+07 1.17053413e+23 402
1.33710667e+07 1.19505108e+01 5.50320094e+03 3.05810054e+12 7.24677258e+10 1.81731155e+07 1.22332867e+23 402
1.35677000e+07 1.19504156e+01 5.50314210e+03 3.05799638e+12 7.24656836e+10 1.81731155e+07 1.27768698e+23 402
1.37643333e+07 1.19503190e+01 5.50308239e+03 3.05789068e+12 7.24636112e+10 1.81731155e+07 1.33363186e+23 402
1.39609667e+07 1.19502209e+01 5.50302181e+03 3.05778343e+12 7.24615086e+10 1.81731155e+07 1.39118612e+23 402
1.41576000e+07 1.19501215e+01 5.50296035e+03 3.05767465e+12 7.24593757e+10 1.81731155e+07 1.45037256e+23 402
1.43542333e+07 1.19500206e+01 5.50289803e+03 3.05756433e+12 7.24572127e+10 1.81731155e+07 1.51121398e+23 402
1.45508667e+07 1.19499184e+01 5.50283483e+03 3.05745246e+12 7.24550194e+10 1.81731155e+07 1.57373318e+23 402
1.47475000e+07 1.19498147e+01 5.50277076e+03 3.05733905e+12 7.24527959e+10 1.81731155e+07 1.63795295e+23 402
1.49441333e+07 1.19497096e+01 5.50270583e+03 3.05722410e+12 7.24505422e+10 1.81731155e+07 1.70389609e+23 402
1.51407667e+07 1.19496032e+01 5.50264002e+03 3.05710761e+12 7.24482582e+10 1.81731155e+07 1.77158540e+23 402
1.53374000e+07 1.19494953e+01 5.50257334e+03 3.05698958e+12 7.24459441e+10 1.81731155e+07 1.84104367e+23 402
1.55340333e+07 1.19493860e+01 5.50250579e+03 3.05687001e+12 7.24435997e+10 1.81731155e+07 1.91229370e+23 402
1.57306667e+07 1.19492753e+01 5.50243737e+03 3.05674890e+12 7.24412252e+10 1.81731155e+07 1.98535827e+23 402
1.59273000e+07 1.19491631e+01 5.50236808e+03 3.05662624e+12 7.24388204e+10 1.81731155e+07 2.06026018e+23 402
1.61239333e+07 1.19490496e+01 5.50229792e+03 3.05650205e+12 7.24363854e+10 1.81731155e+07 2.13702222e+23 402
1.63205667e+07 1.19489347e+01 5.50222689e+03 3.05637632e+12 7.24339202e+10 1.81731155e+07 2.21566717e+23 402
1.65172000e+07 1.19488183e+01 5.50215499e+03 3.05624904e+12 7.24314248e+10 1.81731155e+07 2.29621782e+23 402
1.67138333e+07 1.19487006e+01 5.50208222e+03 3.05612023e+12 7.24288992e+10 1.81731155e+07 2.37869695e+23 402
1.69104667e+07 1.19485814e+01 5.50200858e+03 3.05598987e+12 7.24263434e+10 1.81731155e+07 2.46312736e+23 402
1.71071000e+07 1.19484609e+01 5.50193407e+03 3.05585797e+12 7.24237574e+10 1.81731155e+07 2.54953182e+23 402
1.73037333e+07 1.19483389e+01 5.50185869e+03 3.05572454e+12 7.24211412e+10 1.81731155e+07 2.63793310e+23 402
1.75003667e+07 1.19482155e+01 5.50178244e+03 3.05558956e+12 7.24184948e+10 1.81731155e+07 2.72835401e+23 402
1.76970000e+07 1.19480907e+01 5.50170532e+03 3.05545304e+12 7.24158182e+10 1.81731155e+07 2.82081730e+23 402
1.78936333e+07 1.19479645e+01 5.50162732e+03 3.05531498e+12 7.24131114e+10 1.81731155e+07 2.91534576e+23 402
1.80902667e+07 1.19478369e+01 5.50154846e+03 3.05517539e+12 7.24103744e+10 1.81731155e+07 3.01196216e+23 402
1.82869000e+07 1.19477079e+01 5.50146873e+03 3.05503425e+12 7.24076072e+10 1.81731155e+07 3.11068928e+23 402
1.84835333e+07 1.19475775e+01 5.50138813e+03 3.05489157e+12 7.24048099e+10 1.81731155e+07 3.21154989e+23 402
