#radius[cm] density[g/cm^3] temperature[K] pressure[dyne/cm^2] sp.energy[erg/g] sp.entropy[erg/g/K] menclosed[g] matID
2.49600000e+06 6.62890246e+00 2.43586003e+03 7.83311487e+10 1.68843875e+10 1.94283669e+07 4.45373475e+20 402
2.54800000e+06 6.62889470e+00 2.43585373e+03 7.83295715e+10 1.68843740e+10 1.94283669e+07 4.73495959e+20 402
2.60000000e+06 6.62888679e+00 2.43584729e+03 7.83279610e+10 1.68843602e+10 1.94283669e+07 5.02777979e+20 402
2.65200000e+06 6.62887871e+00 2.43584073e+03 7.83263174e+10 1.68843461e+10 1.94283669e+07 5.33242955e+20 402
2.70400000e+06 6.62887047e+00 2.43583403e+03 7.83246406e+10 1.68843317e+10 1.94283669e+07 5.64914311e+20 402
2.75600000e+06 6.62886206e+00 2.43582720e+03 7.83229306e+10 1.68843171e+10 1.94283669e+07 5.97815468e+20 402
2.80800000e+06 6.62885349e+00 2.43582023e+03 7.83211875e+10 1.68843021e+10 1.94283669e+07 6.31969847e+20 402
2.86000000e+06 6.62884476e+00 2.43581314e+03 7.83194111e+10 1.68842869e+10 1.94283669e+07 6.67400870e+20 402
2.91200000e+06 6.62883587e+00 2.43580591e+03 7.83176015e+10 1.68842714e+10 1.94283669e+07 7.04131959e+20 402
2.96400000e+06 6.62882681e+00 2.43579855e+03 7.83157588e+10 1.68842556e+10 1.94283669e+07 7.42186533e+20 402
3.01600000e+06 6.62881759e+00 2.43579105e+03 7.83138829e+10 1.68842395e+10 1.94283669e+07 7.81588015e+20 402
3.06800000e+06 6.62880820e+00 2.43578342e+03 7.83119738e+10 1.68842232e+10 1.94283669e+07 8.22359825e+20 402
3.12000000e+06 6.62879866e+00 2.43577566e+03 7.83100315e+10 1.68842065e+10 1.94283669e+07 8.64525382e+20 402
3.17200000e+06 6.62878895e+00 2.43576777e+03 7.83080560e+10 1.68841896e+10 1.94283669e+07 9.08108109e+20 402
3.22400000e+06 6.62877907e+00 2.43575975e+03 7.83060473e+10 1.68841723e+10 1.94283669e+07 9.53131423e+20 402
3.27600000e+06 6.62876904e+00 2.43575159e+03 7.83040054e+10 1.68841548e+10 1.94283669e+07 9.99618746e+20 402
3.32800000e+06 6.62875884e+00 2.43574330e+03 7.83019304e+10 1.68841371e+10 1.94283669e+07 1.04759350e+21 402
3.38000000e+06 6.62874848e+00 2.43573488e+03 7.82998221e+10 1.68841190e+10 1.94283669e+07 1.09707910e+21 402
3.43200000e+06 6.62873795e+00 2.43572632e+03 7.82976807e+10 1.68841006e+10 1.94283669e+07 1.14809896e+21 402
3.48400000e+06 6.62872726e+00 2.43571764e+03 7.82955061e+10 1.68840820e+10 1.94283669e+07 1.20067651e+21 402
3.53600000e+06 6.62871641e+00 2.43570882e+03 7.82932983e+10 1.68840631e+10 1.94283669e+07 1.25483517e+21 402
3.58800000e+06 6.62870539e+00 2.43569986e+03 7.82910573e+10 1.68840438e+10 1.94283669e+07 1.31059834e+21 402
