#RRR|Lz25|Lz50|Lz75|Lzmean|
1.436098049e+06|1.108311508e+28|1.881582439e+28|2.215432795e+28|1.607774376e+28|1.607774376e+30
1.443856243e+06|1.128681254e+28|1.677370471e+28|2.284923333e+28|1.591268401e+28|1.591268401e+30
1.451996923e+06|1.075189433e+28|1.908997773e+28|2.305741263e+28|1.677934378e+28|1.677934378e+30
1.459620655e+06|1.081259123e+28|1.910817235e+28|2.368576921e+28|1.677822113e+28|1.677822113e+30
1.467504297e+06|9.715816249e+27|1.844929829e+28|2.390815561e+28|1.668169480e+28|1.668169480e+30
1.475535391e+06|1.200578856e+28|1.739300743e+28|2.232653821e+28|1.645602824e+28|1.645602824e+30
1.483378283e+06|1.194310203e+28|2.079820042e+28|2.464822637e+28|1.830189546e+28|1.830189546e+30
1.490501142e+06|1.058124275e+28|1.936539188e+28|2.374738854e+28|1.716187881e+28|1.716187881e+30
1.497814805e+06|7.811115091e+27|1.968179136e+28|2.377654392e+28|1.627745169e+28|1.627745169e+30
1.505326290e+06|1.203326846e+28|1.726338614e+28|2.396791775e+28|1.679309802e+28|1.679309802e+30
1.512864768e+06|1.026733087e+28|1.874901713e+28|2.451620910e+28|1.707616137e+28|1.707616137e+30
1.520601727e+06|1.393515238e+28|2.102854533e+28|2.569279900e+28|1.878226195e+28|1.878226195e+30
1.528064993e+06|1.460289698e+28|2.202442393e+28|2.548585252e+28|1.879123836e+28|1.879123836e+30
1.535867360e+06|1.104688305e+28|2.166721927e+28|2.576380337e+28|1.823422342e+28|1.823422342e+30
1.543840139e+06|1.268682017e+28|2.250916702e+28|2.636980531e+28|1.967699905e+28|1.967699905e+30
1.551975364e+06|1.239405675e+28|2.012689659e+28|2.650286999e+28|1.846044663e+28|1.846044663e+30
1.559171460e+06|1.167217795e+28|2.080907477e+28|2.653614735e+28|1.854570474e+28|1.854570474e+30
1.565511981e+06|1.160243468e+28|2.110065579e+28|2.647688171e+28|1.862158012e+28|1.862158012e+30
1.571740946e+06|1.452285087e+28|2.189300420e+28|2.719341798e+28|1.941061374e+28|1.941061374e+30
1.578574999e+06|1.369438683e+28|2.326343993e+28|2.721511601e+28|1.982044836e+28|1.982044836e+30
1.585809606e+06|1.220333287e+28|2.106779880e+28|2.706538797e+28|1.919361262e+28|1.919361262e+30
1.592554295e+06|1.453629818e+28|2.198069797e+28|2.709998596e+28|2.003712016e+28|2.003712016e+30
1.598548678e+06|1.230560255e+28|2.197182307e+28|2.846090416e+28|1.974848122e+28|1.974848122e+30
1.605067948e+06|1.452272403e+28|2.317759274e+28|2.883281788e+28|2.093030848e+28|2.093030848e+30
