#radius[cm] density[g/cm^3] temperature[K] pressure[dyne/cm^2] sp.energy[erg/g] sp.entropy[erg/g/K] menclosed[g] matID
9.43840000e+06 1.19840059e+01 5.50965665e+03 3.09347594e+12 7.31039491e+10 1.81580049e+07 4.35376616e+22 402
9.63503333e+06 1.19839390e+01 5.50961540e+03 3.09340223e+12 7.31025053e+10 1.81580049e+07 4.62866662e+22 402
9.83166667e+06 1.19838706e+01 5.50957328e+03 3.09332697e+12 7.31010312e+10 1.81580049e+07 4.91490040e+22 402
1.00283000e+07 1.19838008e+01 5.50953029e+03 3.09325015e+12 7.30995267e+10 1.81580049e+07 5.21269632e+22 402
1.02249333e+07 1.19837297e+01 5.50948644e+03 3.09317179e+12 7.30979918e+10 1.81580049e+07 5.52228321e+22 402
1.04215667e+07 1.19836571e+01 5.50944172e+03 3.09309187e+12 7.30964266e+10 1.81580049e+07 5.84388987e+22 402
1.06182000e+07 1.19835831e+01 5.50939612e+03 3.09301041e+12 7.30948310e+10 1.81580049e+07 6.17774510e+22 402
1.08148333e+07 1.19835077e+01 5.50934967e+03 3.09292739e+12 7.30932050e+10 1.81580049e+07 6.52407769e+22 402
1.10114667e+07 1.19834309e+01 5.50930234e+03 3.09284283e+12 7.30915487e+10 1.81580049e+07 6.88311642e+22 402
1.12081000e+07 1.19833527e+01 5.50925415e+03 3.09275671e+12 7.30898620e+10 1.81580049e+07 7.25509007e+22 402
1.14047333e+07 1.19832731e+01 5.50920509e+03 3.09266904e+12 7.30881449e+10 1.81580049e+07 7.64022740e+22 402
1.16013667e+07 1.19831921e+01 5.50915516e+03 3.09257983e+12 7.30863975e+10 1.81580049e+07 8.03875717e+22 402
1.17980000e+07 1.19831097e+01 5.50910436e+03 3.09248906e+12 7.30846197e+10 1.81580049e+07 8.45090813e+22 402
1.19946333e+07 1.19830258e+01 5.50905270e+03 3.09239674e+12 7.30828115e+10 1.81580049e+07 8.87690901e+22 402
1.21912667e+07 1.19829406e+01 5.50900017e+03 3.09230288e+12 7.30809730e+10 1.81580049e+07 9.31698853e+22 402
1.23879000e+07 1.19828539e+01 5.50894677e+03 3.09220746e+12 7.30791042e+10 1.81580049e+07 9.77137542e+22 402
1.25845333e+07 1.19827659e+01 5.50889250e+03 3.09211049e+12 7.30772049e+10 1.81580049e+07 1.02402984e+23 402
1.27811667e+07 1.19826764e+01 5.50883737e+03 3.09201197e+12 7.30752753e+10 1.81580049e+07 1.07239861e+23 402
1.29778000e+07 1.19825855e+01 5.50878137e+03 3.09191191e+12 7.30733154e+10 1.81580049e+07 1.12226673e+23 402
1.31744333e+07 1.19824932e+01 5.50872450e+03 3.09181029e+12 7.30713251e+10 1.81580049e+07 1.17365706e+23 402
1.33710667e+07 1.19823995e+01 5.50866677e+03 3.09170712e+12 7.30693044e+10 1.81580049e+07 1.22659248e+23 402
1.35677000e+07 1.19823044e+01 5.50860816e+03 3.09160241e+12 7.30672534e+10 1.81580049e+07 1.28109584e+23 402
