353.41,6452.5,13.489
353.9,6456.9,13.493
354.38,6461.4,13.498
354.87,6465.8,13.503
355.35,6470.3,13.507
355.84,6474.8,13.512
356.32,6479.2,13.517
356.81,6483.7,13.521
357.29,6488.1,13.526
357.78,6492.6,13.531
358.26,6497,13.535
358.75,6501.5,13.54
359.23,6505.9,13.545
359.72,6510.3,13.549
360.21,6514.8,13.554
360.7,6519.3,13.559
361.2,6523.9,13.564
361.7,6528.4,13.568
362.2,6532.9,13.573
362.7,6537.5,13.578
363.19,6542,13.583
363.69,6546.5,13.587
364.19,6551,13.592
364.69,6555.5,13.597
365.18,6560,13.602
365.68,6564.5,13.606
366.18,6569,13.611
366.67,6573.5,13.616
367.17,6578,13.62
367.67,6582.6,13.625
368.16,6587.1,13.63
368.66,6591.6,13.635
369.16,6596,13.639
369.65,6600.5,13.644
370.15,6605,13.649
370.66,6609.6,13.653
371.17,6614.2,13.658
371.68,6618.8,13.663
372.19,6623.3,13.668
372.7,6627.9,13.673
373.21,6632.5,13.677
373.72,6637.1,13.682
374.23,6641.6,13.687
374.74,6646.2,13.692
375.25,6650.7,13.696
375.76,6655.3,13.701
376.27,6659.8,13.706
376.78,6664.4,13.711
377.29,6669,13.715
377.79,6673.5,13.72
378.3,6678.1,13.725
378.81,6682.6,13.73
379.32,6687.2,13.734
379.83,6691.7,13.739
380.35,6696.3,13.744
380.87,6700.9,13.749
381.39,6705.5,13.753
381.91,6710.2,13.758
382.43,6714.8,13.763
382.95,6719.4,13.768
383.47,6724,13.773
384,6728.7,13.777
384.52,6733.3,13.782
385.04,6737.9,13.787
385.56,6742.5,13.792
386.08,6747.1,13.797
386.6,6751.7,13.801
387.12,6756.3,13.806
387.64,6760.9,13.811
388.16,6765.5,13.816
388.68,6770.1,13.82
389.2,6774.7,13.825
389.72,6779.3,13.83
390.25,6783.9,13.835
390.78,6788.6,13.839
391.32,6793.2,13.844
391.85,6797.9,13.849
392.38,6802.6,13.854
392.91,6807.2,13.859
393.45,6811.9,13.864
393.98,6816.6,13.869
394.51,6821.2,13.873
395.05,6825.9,13.878
395.58,6830.6,13.883
396.11,6835.2,13.888
396.64,6839.9,13.893
397.18,6844.5,13.897
397.71,6849.1,13.902
398.24,6853.8,13.907
398.77,6858.4,13.912
399.31,6863.1,13.916
399.84,6867.7,13.921
400.38,6872.4,13.926
400.92,6877.2,13.931
401.47,6881.9,13.936
402.01,6886.6,13.941
402.56,6891.3,13.946
403.1,6896,13.95
403.65,6900.7,13.955
404.19,6905.4,13.96
404.74,6910.2,13.965
405.28,6914.9,13.97
405.83,6919.6,13.975
406.37,6924.3,13.98
406.92,6929,13.984
407.46,6933.7,13.989
408,6938.4,13.994
408.55,6943,13.999
409.09,6947.7,14.004
409.63,6952.4,14.008
410.18,6957.1,14.013
410.74,6961.9,14.018
411.3,6966.7,14.023
411.85,6971.5,14.028
412.41,6976.2,14.033
412.97,6981,14.038
413.52,6985.7,14.043
414.08,6990.5,14.047
414.64,6995.3,14.052
415.19,7000,14.057
415.75,7004.8,14.062
416.3,7009.5,14.067
